Pengguna;Bulan;Tahun
15176;Januari;2014
14856;Februari;
17471;Maret;
16671;April;
16781;Mei;
17848;Juni;
16585;Juli;
17091;Agustus;
18253;September;
19079;Oktober;
18605;November;
20080;Desember;
19244;Januari;2015
17640;Februari;
21290;Maret;
21171;April;
22177;Mei;
22207;Juni;
21171;Juli;
22295;Agustus;
22021;September;
22964;Oktober;
22355;November;
22996;Desember;
22238;Januari;2016
21229;Februari;
23206;Maret;
23149;April;
24401;Mei;
23821;Juni;
21574;Juli;
23923;Agustus;
23570;September;
24533;Oktober;
24104;November;
24841;Desember;
24185;Januari;2017
21743;Februari;
25775;Maret;
25411;April;
27385;Mei;
24432;Juni;
27016;Juli;
27679;Agustus;
26158;September;
28765;Oktober;
28246;November;
29059;Desember;
28075;Januari;2018
25362;Februari;
29223;Maret;
28942;April;
28995;Mei;
24833;Juni;
29086;Juli;
28098;Agustus;
27618;September;
29317;Oktober;
28049;November;
29201;Desember;
